1986,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
coll031,"IMG-4731.JPG
Name might be updated",,,Quebec folk festival pamphlet,"
Heritage Singers Canada; Lyons, Grace",1995,Quebec folk festival pamphlet,performance,"Montreal, Quebec, Canada",46.81228,-71.21454,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-7,Image;StillImage,image/jpeg,French,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll032,File name to be updated ,,,A letter of thanks ,"
Heritage Singers Canada; Lyons, Grace",2004-04-11,Letter from Malton Black Development Association president Sydney Weir thanking the Heritage Singers for their donation,Letter,"Whitby, Canada",43.88342,-78.93287,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-8,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll033,"ASC62373.tif
Name might be updated",,,Certificate of appreciation,"
Heritage Singers Canada; Lyons, Grace",2001-02-10,A certificate of recognition from the O.P.P. to the Heritage Singers for their contributions to United Mothers Opposing Gun Violence Everywhere,Awards,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-10,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll034,"ASC62374.tif
Name might be updated",,,Letter of congratulations from Jean Augustine,"
Heritage Singers Canada; Lyons, Grace",1998-01-05,Letter of congratulations to the Heritage Singers for releasing their first CD,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-13,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll035,"IMG_4741.JPG
Name might be updated ",,,Flyer for Hallelujah Pepperpot,"
Heritage Singers Canada; Lyons, Grace",2004-28-02,Flyer for Hallelujah Pepperpot,performance; group photo,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(02)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll036,"IMG_4742.JPG
Name might be updated ",,,Heritage Singers pamphlets,"
Heritage Singers Canada; Lyons, Grace",,Pamphlets featuring the Heritage Singers,group photo; media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(02)-3,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll037,"IMG_4809.JPG
Name will be updated ",,,Letters,"
Heritage Singers Canada; Lyons, Grace",1995-15-11,"An open folder containing two letters. The first letter from the Consulate General of Antigua and Barbuda thanking the heritage Singer's for their wonderful performance. The second letter from the Board of Directors and Concert Committee of the Community Folk Art Council of Metropolitan Toronto thanking the Heritage Singers for their participation in the ""Sound of Nation"" concert. ",Letter; international relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(04)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll038,"IMG_4811.JPG
Name will be updated",,,Photographs during a performance,"
Heritage Singers Canada; Lyons, Grace",1995,An open folder with four photographs featuring the Heritage Singers at the 1995 Quebec folk festival ,International tours; Performance ,"Quebec, Canada",46.81228,-71.21454,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(04)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
,"IMG_4815.JPG
Name will be updated",,,A Letter from David Crombie pt. 1,"
Heritage Singers Canada; Lyons, Grace",1988-30-03,First page of a letter from Minister of multiculturalism David Crombe,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(04)-3,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll039,"IMG_4816.JPG
Name will be updated",,,A Letter from David Crombie pt. 2,"
Heritage Singers Canada; Lyons, Grace",1988-30-03,Last page of a letter from Minister of multiculturalism David Crombe,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(04)-4,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
